student_id,gender,study_hours_per_week,attendance_rate,sleep_hours,previous_gpa,extracurricular_hours,parental_support,internet_access,study_group,final_score,grade
106,Female,18.6,85.2,7.0,2.96,5.5,High,Yes,No,76.8,B
107,Male,24.2,80.4,7.4,2.19,6.1,High,Yes,No,72.1,B
108,Male,23.7,80.7,7.5,3.01,1.5,Low,Yes,No,69.9,C
109,Male,12.8,88.3,7.5,2.09,2.0,Medium,Yes,No,63.0,C
110,Female,17.2,90.8,4.3,2.18,2.1,Medium,Yes,Yes,65.9,C
111,Male,11.3,75.9,5.0,2.28,3.2,Medium,Yes,No,55.7,C
112,Male,15.1,85.4,9.4,2.63,0.6,Low,No,Yes,63.9,C
113,Male,11.4,64.7,5.4,3.46,0.2,High,No,No,63.1,C
114,Female,24.7,87.1,7.6,3.25,1.6,High,Yes,Yes,79.8,B
115,Male,17.2,92.6,5.9,3.21,0.3,Low,Yes,No,71.6,B
116,Female,13.7,82.2,6.9,2.24,1.8,Low,Yes,Yes,64.6,C
117,Female,22.2,100.0,6.0,2.58,4.5,Low,Yes,No,70.0,B
118,Female,2.0,76.2,7.5,3.06,1.7,High,Yes,Yes,66.5,C
119,Male,2.9,87.2,7.0,2.52,2.2,Medium,No,No,67.8,C
120,Female,19.8,84.6,6.2,2.73,2.6,Low,Yes,Yes,79.6,B
121,Female,15.4,84.0,5.4,3.16,3.8,High,Yes,No,69.5,C
122,Female,16.5,83.9,7.1,2.69,2.4,Medium,No,No,61.9,C
123,Male,7.0,86.1,5.2,3.04,1.6,Medium,Yes,Yes,62.3,C
124,Male,14.9,93.5,7.4,3.86,1.5,Medium,Yes,Yes,84.4,B
125,Male,27.0,98.8,10.0,2.8,0.6,Medium,Yes,Yes,81.2,B
126,Male,19.9,85.0,8.6,3.61,1.5,Medium,Yes,No,79.6,B
127,Male,16.0,93.2,,3.24,4.0,Medium,Yes,No,84.9,B
128,Male,12.4,78.0,6.7,2.02,1.4,Medium,Yes,Yes,63.2,C
129,Male,12.6,92.7,4.3,2.24,1.2,High,Yes,Yes,72.2,B
130,Female,2.2,77.4,5.1,2.4,2.2,Medium,Yes,Yes,61.1,C
131,Male,16.5,95.9,8.5,2.39,0.5,High,Yes,Yes,73.3,B
132,Female,20.1,100.0,5.8,2.85,0.2,Medium,Yes,No,79.6,B
133,Female,5.5,83.8,5.9,3.27,3.5,High,No,Yes,63.4,C
134,Male,11.0,63.1,6.6,3.65,0.9,Medium,Yes,Yes,74.9,B
135,Female,8.1,79.5,5.4,3.08,0.8,High,Yes,No,65.3,C
136,Male,9.2,97.3,5.2,2.63,5.6,Medium,Yes,No,65.7,C
137,Female,15.3,90.5,6.7,1.65,6.5,Low,Yes,No,57.4,C
138,Male,2.5,87.5,5.6,2.94,1.9,Low,Yes,Yes,57.6,C
139,Female,18.7,95.1,5.8,2.92,2.7,Low,Yes,No,69.1,C
140,Male,19.5,89.8,5.8,3.01,9.1,High,Yes,No,67.5,C
141,Male,13.5,97.2,7.5,4.0,1.4,High,Yes,No,81.1,B
142,Male,0.1,94.2,6.5,3.64,5.3,High,Yes,Yes,71.4,B
143,Female,9.0,100.0,6.6,3.37,3.6,Low,Yes,No,73.9,B
144,Female,22.4,88.6,7.6,2.32,8.1,High,Yes,No,78.7,B
145,Male,0.0,94.1,6.6,2.59,0.7,High,Yes,No,61.5,C
146,Male,12.9,81.9,6.4,2.84,4.4,Medium,Yes,No,66.4,C
147,Male,7.9,79.0,7.4,2.43,0.5,Medium,Yes,No,61.3,C
148,Female,19.8,100.0,7.7,3.2,4.4,Medium,Yes,No,86.0,A
149,Male,10.9,87.2,6.6,3.11,1.0,Low,Yes,No,62.7,C
150,Male,17.4,93.0,6.9,2.25,0.2,Medium,Yes,Yes,67.4,C
151,Female,18.4,86.2,5.8,3.62,4.7,High,Yes,Yes,76.0,B
152,Female,26.0,79.1,5.7,2.96,0.1,Low,Yes,No,64.4,C
153,Male,13.8,85.1,7.8,1.86,5.0,Medium,Yes,No,66.4,C
154,Female,17.3,99.4,7.4,2.87,0.6,Medium,Yes,No,75.5,B
155,Male,6.1,90.6,7.4,3.07,2.2,High,Yes,No,76.9,B
156,Female,22.1,67.9,7.2,3.48,0.1,High,Yes,No,81.5,B
157,Male,10.4,82.8,6.9,2.7,0.2,High,Yes,No,79.5,B
158,Female,11.6,100.0,7.7,3.4,0.8,Medium,Yes,Yes,76.3,B
159,Female,14.9,82.9,8.0,3.01,1.2,Medium,Yes,No,70.0,B
160,Female,5.6,67.0,8.0,2.11,0.5,Medium,Yes,Yes,52.7,D
161,Male,16.4,100.0,6.7,2.05,0.3,Medium,Yes,No,71.9,B
162,Female,20.8,91.8,8.6,3.57,0.4,Low,Yes,No,77.6,B
163,Male,16.8,84.3,7.1,3.62,1.8,Medium,Yes,Yes,80.0,B
164,Male,5.5,81.3,7.6,3.09,0.2,High,Yes,Yes,65.0,C
165,Female,14.3,95.8,7.2,3.8,6.5,Medium,Yes,Yes,82.1,B
166,Male,19.5,79.6,7.1,3.53,6.6,High,Yes,No,80.7,B
167,Female,3.7,96.5,5.8,3.31,0.2,Medium,Yes,No,68.5,C
168,Female,8.6,90.4,7.7,2.35,3.3,Medium,Yes,Yes,64.1,C
169,Male,20.3,87.4,,3.94,3.1,Low,Yes,No,85.1,A
170,Female,16.6,86.5,,3.22,2.2,Low,Yes,Yes,80.8,B
171,Male,17.5,83.3,6.9,2.67,0.8,Medium,Yes,No,64.6,C
172,Male,26.2,95.5,6.2,2.5,2.2,Medium,Yes,No,79.1,B
173,Male,17.8,76.3,6.2,3.05,5.1,Low,Yes,Yes,56.7,C
174,Female,18.9,68.8,8.8,1.9,0.9,Low,Yes,Yes,65.7,C
175,Male,31.3,91.1,5.9,3.32,4.2,Low,No,No,67.5,C
176,Male,13.7,91.3,6.2,2.33,1.7,High,No,No,63.6,C
177,Male,10.2,89.8,,3.12,5.9,High,Yes,Yes,68.0,C
178,Female,17.6,89.1,5.8,2.59,2.6,Medium,Yes,No,69.1,C
179,Female,17.6,81.8,4.6,2.74,4.7,Low,Yes,No,69.7,C
180,Female,11.8,92.9,7.6,2.45,8.1,Low,Yes,Yes,59.9,C
181,Female,8.8,84.5,10.0,2.8,1.5,Low,Yes,No,64.0,C
182,Female,28.9,80.1,6.3,4.0,3.0,Medium,Yes,No,81.0,B
183,Male,17.0,81.9,4.6,3.73,9.5,Low,Yes,Yes,81.4,B
184,Male,10.6,100.0,8.0,3.11,14.9,Medium,Yes,No,78.5,B
185,Female,20.5,67.7,5.9,2.88,2.2,High,Yes,Yes,67.9,C
186,Female,14.3,90.0,8.5,3.41,7.7,Medium,Yes,Yes,76.2,B
187,Male,13.5,68.2,6.4,3.58,1.2,High,Yes,Yes,80.8,B
188,Male,18.4,83.9,6.0,2.4,1.4,Low,Yes,No,68.3,C
189,Female,7.2,80.7,6.6,2.85,7.4,Medium,Yes,No,61.8,C
190,Male,17.1,64.1,7.8,1.81,2.7,High,Yes,No,63.1,C
191,Female,26.5,88.9,6.5,3.57,4.8,Medium,Yes,Yes,82.4,B
192,Male,17.8,81.2,6.2,4.0,1.2,Medium,Yes,No,74.5,B
193,Male,12.7,64.0,6.5,2.95,4.4,High,Yes,No,60.4,C
194,Female,12.0,93.4,5.1,1.62,5.1,Medium,Yes,Yes,60.7,C
195,Male,12.5,99.4,7.3,3.27,1.3,Medium,Yes,Yes,82.3,B
196,Male,13.5,99.9,4.5,2.36,1.9,Medium,Yes,No,65.9,C
197,Female,12.7,88.6,6.2,2.5,1.1,Low,No,Yes,60.8,C
198,Female,20.5,85.5,7.8,3.28,5.9,Low,Yes,No,75.1,B
199,Male,4.6,98.3,7.2,3.05,3.2,Low,Yes,No,76.0,B
200,Male,20.2,100.0,7.6,2.61,0.5,High,Yes,Yes,79.5,B
201,Female,12.7,96.3,6.7,2.51,8.4,Medium,Yes,No,75.6,B
202,Female,17.3,75.6,8.3,2.98,2.9,Medium,Yes,No,68.7,C
203,Male,8.2,87.0,8.0,2.65,1.3,Low,Yes,No,62.2,C
204,Male,23.0,89.4,7.4,2.23,2.7,Medium,Yes,No,72.3,B
205,Male,22.5,66.9,8.0,2.7,0.7,High,Yes,No,69.4,C
206,Male,20.8,89.7,7.8,3.1,1.0,Medium,Yes,No,75.3,B
207,Male,5.9,100.0,6.2,2.79,5.2,Medium,Yes,Yes,73.8,B
208,Female,20.0,91.4,5.1,2.05,1.0,High,Yes,No,67.1,C
209,Male,17.4,99.7,,3.49,10.5,High,Yes,Yes,85.5,A
210,Male,5.4,86.8,7.5,1.26,0.7,High,Yes,No,62.0,C
211,Female,14.9,84.3,8.2,2.63,6.0,Medium,Yes,No,66.9,C
212,Female,17.2,88.8,5.6,2.53,6.1,Low,Yes,Yes,73.6,B
213,Male,18.3,76.8,5.6,2.99,3.4,Medium,Yes,No,70.6,B
214,Female,16.1,75.4,7.4,3.24,0.7,Medium,Yes,Yes,71.7,B
215,Female,16.7,97.7,6.7,3.58,1.3,High,Yes,Yes,73.3,B
216,Female,23.8,98.7,4.3,2.47,2.0,Low,Yes,Yes,70.5,B
217,Male,22.4,75.1,7.3,3.25,4.1,Medium,No,No,72.9,B
218,Male,0.0,94.7,4.4,3.02,10.8,High,Yes,Yes,77.5,B
219,Female,13.1,84.1,5.6,1.87,3.1,High,Yes,No,67.7,C
220,Male,14.0,88.4,8.6,4.0,3.3,Medium,Yes,No,83.9,B
221,Male,4.5,89.6,9.2,2.04,4.2,High,No,Yes,57.9,C
222,Male,15.6,94.9,5.2,3.15,1.7,Low,Yes,No,69.4,C
223,Female,22.5,85.8,6.4,3.13,0.7,Medium,Yes,Yes,82.3,B
224,Female,8.5,99.1,6.9,3.07,6.4,Low,Yes,No,65.0,C
225,Male,17.0,88.1,9.1,2.6,11.4,High,Yes,Yes,83.3,B
226,Female,9.5,91.2,6.2,3.4,4.7,High,Yes,No,78.1,B
227,Male,11.0,76.7,6.2,1.96,0.9,Low,Yes,No,58.1,C
228,Female,23.9,100.0,8.8,2.86,2.8,Low,No,Yes,73.1,B
229,Female,11.7,89.7,6.3,2.56,3.2,Medium,Yes,Yes,64.5,C
230,Male,17.8,92.1,7.7,2.49,1.5,Medium,Yes,Yes,81.1,B
231,Male,3.8,68.9,4.9,3.16,3.1,High,Yes,Yes,68.2,C
232,Male,26.2,76.8,6.6,3.55,9.9,Low,No,No,74.8,B
233,Female,18.6,97.4,4.6,2.69,1.9,High,Yes,No,73.2,B
234,Female,13.9,87.9,5.4,3.37,2.1,Medium,Yes,No,72.2,B
235,Female,18.5,65.9,7.9,2.93,3.3,Medium,Yes,No,70.1,B
236,Female,6.5,95.4,6.7,2.36,2.0,Low,Yes,No,63.5,C
237,Male,22.1,79.6,6.4,2.75,5.2,High,Yes,No,78.9,B
238,Female,13.1,99.1,5.8,2.72,1.5,Medium,Yes,Yes,68.3,C
239,Male,13.8,84.1,6.5,2.48,2.9,Medium,Yes,Yes,61.8,C
240,Male,12.1,87.0,7.2,3.16,4.4,Medium,No,Yes,69.5,C
241,Female,11.5,96.8,8.1,3.04,0.8,High,No,Yes,65.2,C
242,Female,19.2,76.0,3.4,1.95,2.1,High,Yes,Yes,65.2,C
243,Male,16.5,75.1,5.7,1.91,1.9,High,Yes,Yes,64.3,C
244,Female,18.9,83.0,7.0,3.15,1.7,Medium,Yes,Yes,77.3,B
245,Female,14.9,93.3,6.7,2.41,1.4,High,Yes,No,80.8,B
246,Female,18.1,71.7,7.3,3.08,0.6,Medium,Yes,Yes,63.0,C
247,Female,12.5,68.3,7.1,3.37,3.5,High,Yes,Yes,83.4,B
248,Male,28.4,93.2,6.4,2.14,0.3,Medium,Yes,Yes,74.6,B
249,Male,5.6,79.0,6.1,2.05,6.3,Medium,Yes,No,60.8,C
250,Male,22.6,81.1,6.5,3.9,1.2,High,Yes,No,75.8,B
251,Female,23.2,66.4,8.3,3.11,1.0,High,Yes,No,80.4,B
252,Female,9.9,78.2,5.8,2.65,1.2,Medium,Yes,Yes,65.2,C
253,Male,28.4,84.9,6.7,2.34,7.2,Medium,Yes,Yes,76.7,B
254,Male,21.0,94.3,7.0,2.59,1.3,High,Yes,Yes,69.6,C
255,Male,20.8,77.3,8.8,2.19,2.4,High,Yes,Yes,74.1,B
256,Female,15.2,100.0,6.4,3.43,0.4,High,Yes,Yes,84.4,B
257,Female,13.7,78.2,8.0,2.43,5.5,Low,Yes,No,63.1,C
258,Male,13.7,78.2,8.4,3.56,6.5,Medium,No,Yes,77.2,B
259,Male,17.3,100.0,6.7,2.66,0.1,High,No,Yes,78.5,B
260,Female,23.4,87.1,6.5,2.27,1.1,High,Yes,No,71.3,B
261,Male,16.1,79.5,6.4,2.64,0.6,High,No,No,73.6,B
262,Female,9.5,83.4,6.5,1.33,11.4,Medium,Yes,Yes,61.3,C
263,Male,19.9,98.5,7.9,2.83,0.7,Medium,No,Yes,73.9,B
264,Male,20.5,99.7,7.1,2.8,4.1,Medium,No,No,73.2,B
265,Female,18.9,76.8,7.1,3.39,4.7,High,Yes,Yes,79.4,B
266,Male,19.5,84.6,5.3,1.77,8.0,Medium,No,No,50.4,D
267,Male,13.4,85.9,5.5,3.6,1.4,Medium,Yes,No,71.8,B
268,Male,9.4,75.1,9.6,3.39,0.4,High,Yes,Yes,68.2,C
269,Male,9.8,84.4,6.6,3.65,0.3,High,No,No,77.5,B
270,Male,5.2,85.1,,2.87,2.8,Medium,Yes,Yes,72.7,B
271,Male,16.4,96.4,8.7,3.51,3.6,High,Yes,Yes,87.4,A
272,Male,14.5,97.1,7.2,2.02,1.5,Low,Yes,Yes,65.0,C
273,Male,12.4,81.7,7.6,3.33,3.0,Low,Yes,No,64.0,C
274,Female,0.0,82.9,6.6,2.44,2.4,Medium,No,Yes,53.3,D
275,Female,7.5,91.6,6.4,1.91,1.7,Low,No,Yes,64.5,C
276,Male,21.7,79.1,6.6,2.23,3.4,High,Yes,No,68.7,C
277,Male,11.0,90.9,5.0,2.9,0.4,High,No,Yes,57.5,C
278,Male,17.2,84.1,6.7,2.41,0.6,Low,Yes,No,69.5,C
279,Female,6.7,75.3,7.2,3.13,3.6,High,No,No,71.4,B
280,Female,23.6,75.4,9.2,1.82,12.5,Medium,Yes,No,78.4,B
281,Male,14.1,99.5,6.9,1.62,3.1,High,Yes,No,73.4,B
282,Male,16.7,83.4,3.8,3.72,1.7,High,Yes,No,81.8,B
283,Male,29.0,100.0,6.7,3.44,4.4,Medium,Yes,Yes,86.8,A
284,Male,24.1,79.9,10.0,2.27,13.0,Low,Yes,No,63.4,C
285,Female,13.2,87.9,7.9,2.9,1.2,Low,Yes,No,67.7,C
286,Male,11.4,100.0,5.7,3.51,1.2,Medium,Yes,No,77.1,B
287,Male,13.0,74.4,7.6,3.15,0.0,High,Yes,No,70.9,B
288,Male,18.1,66.0,5.8,2.99,1.4,Medium,Yes,No,66.6,C
289,Female,14.4,97.9,5.0,3.56,0.3,Medium,Yes,No,70.5,B
290,Male,12.6,76.7,6.3,2.46,7.1,Low,Yes,Yes,59.5,C
291,Female,23.8,84.8,6.9,2.92,9.2,High,Yes,No,88.4,A
292,Male,14.3,79.1,4.4,2.89,0.5,Medium,Yes,No,74.7,B
293,Female,28.8,87.7,5.3,2.74,12.6,High,Yes,No,81.9,B
294,Male,15.5,75.5,6.8,2.67,2.2,Medium,Yes,Yes,69.9,C
295,Female,25.7,83.2,6.3,2.94,0.1,Medium,Yes,No,70.7,B
296,Female,17.1,89.5,7.3,2.92,8.2,Low,Yes,No,74.4,B
297,Female,20.8,74.9,5.2,2.27,1.4,Medium,Yes,No,74.0,B
298,Female,10.7,78.0,7.7,3.38,5.5,Medium,Yes,No,64.0,C
299,Female,9.9,81.5,5.3,2.31,1.4,High,No,No,62.9,C
300,Female,17.8,70.7,8.9,2.77,0.8,High,Yes,Yes,76.2,B
301,Female,20.9,80.8,4.6,2.72,2.5,Low,Yes,Yes,70.8,B
302,Male,15.2,86.2,5.4,3.11,0.5,Medium,Yes,No,77.9,B
303,Female,7.3,81.0,7.3,1.63,4.4,Low,Yes,No,64.7,C
304,Male,6.8,82.3,9.0,3.43,5.3,Low,Yes,No,66.9,C
305,Female,6.4,84.8,7.2,2.49,0.8,High,Yes,Yes,70.6,B
306,Male,4.4,78.4,7.5,3.63,4.2,High,No,Yes,69.4,C
307,Male,15.7,91.9,6.8,2.61,3.7,High,No,Yes,68.5,C
308,Female,21.8,99.4,5.5,2.87,9.6,Low,Yes,No,76.0,B
309,Male,14.9,80.4,6.2,4.0,0.3,Medium,Yes,No,77.9,B
310,Male,1.4,89.9,5.2,2.73,0.6,Medium,Yes,No,62.3,C
311,Male,13.9,82.6,5.1,3.64,1.4,High,Yes,No,71.1,B
312,Male,14.0,88.7,7.3,2.92,0.7,Medium,No,No,64.7,C
313,Male,27.6,100.0,5.3,3.15,1.6,High,Yes,Yes,83.2,B
314,Male,6.3,90.1,7.2,2.94,0.3,Low,Yes,No,60.0,C
315,Male,12.7,67.3,5.1,3.41,4.6,Medium,Yes,No,68.8,C
316,Male,25.2,89.5,7.2,2.49,3.6,High,Yes,Yes,81.5,B
317,Male,17.7,97.3,6.2,2.31,1.9,Medium,Yes,No,74.8,B
318,Female,18.4,82.8,8.6,2.52,8.5,Medium,Yes,Yes,70.1,B
319,Male,15.7,95.0,7.2,2.96,15.6,Medium,Yes,Yes,75.9,B
320,Female,17.0,78.1,8.4,2.77,1.6,High,Yes,No,80.3,B
321,Female,19.7,70.1,5.8,3.33,8.3,Low,No,No,65.2,C
322,Male,10.1,86.4,6.9,3.68,1.7,High,Yes,Yes,77.3,B
323,Male,20.3,67.4,5.5,2.31,5.1,Medium,Yes,No,64.8,C
324,Female,6.8,82.6,6.3,2.46,5.4,Medium,Yes,Yes,69.6,C
325,Female,17.0,97.9,6.5,2.04,1.3,Medium,Yes,No,73.9,B
326,Female,16.1,65.9,5.9,4.0,3.3,Medium,No,No,73.9,B
327,Female,11.3,72.2,5.2,3.08,1.5,High,Yes,Yes,69.8,C
328,Female,14.9,74.7,5.0,3.19,4.4,High,Yes,No,67.9,C
329,Female,11.3,84.4,3.8,2.1,1.6,High,Yes,No,72.4,B
330,Male,8.6,81.3,5.4,2.9,0.5,High,Yes,No,71.3,B
331,Female,12.9,99.0,7.6,3.21,5.4,Medium,No,Yes,71.0,B
332,Male,8.4,94.5,4.7,2.75,4.4,Medium,Yes,Yes,74.7,B
333,Female,16.9,90.0,5.0,3.55,5.2,High,Yes,No,76.3,B
334,Female,8.1,86.5,9.1,4.0,3.9,Low,Yes,No,79.1,B
335,Male,19.3,88.9,6.0,2.33,5.2,High,Yes,No,79.9,B
336,Female,7.9,76.4,7.2,2.29,0.7,Medium,Yes,No,56.7,C
337,Male,11.6,93.6,7.6,2.37,4.6,Medium,Yes,No,71.1,B
338,Female,11.3,73.9,7.7,3.86,0.8,Medium,Yes,Yes,77.0,B
339,Male,23.0,93.4,4.8,3.53,3.0,Medium,Yes,No,90.7,A
340,Female,17.0,96.9,6.5,2.82,3.1,Low,Yes,No,67.2,C
341,Male,13.7,87.1,4.7,2.92,1.3,Medium,Yes,Yes,76.3,B
